player,team,goals_for,goals_against,minutes_played,minutes_benched,team_goals_for,team_goals_against,team_goals,ag_team_goals,90m_player_goals,ag_90m_player_goals,90m_team_goals,ag_90m_team_goals
b'Diego  Arias',NAL,10.0,3.0,575.0,1220.0,34.0,8.0,24.0,5.0,1.565217391304348,0.46956521739130436,1.7704918032786885,0.36885245901639346
b'Flavio Santos',PUE,0.0,1.0,45.0,49.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
b'Leonel Bontempo',QUI,13.0,20.0,905.0,976.0,24.0,38.0,11.0,18.0,1.292817679558011,1.988950276243094,1.014344262295082,1.6598360655737705
b'Nereo Champagne',OBB,14.0,21.0,1887.0,0.0,14.0,21.0,0.0,0.0,0.6677265500794912,1.0015898251192368,0.0,0.0
b'Edwuin Gomez',UDS,1.0,6.0,109.0,78.0,1.0,6.0,0.0,0.0,0.8256880733944955,4.954128440366972,0.0,0.0
b'Daniel Sappa',EST,7.0,3.0,281.0,1884.0,36.0,13.0,29.0,10.0,2.2419928825622777,0.9608540925266904,1.3853503184713376,0.47770700636942676
b'Santiago Silva',BAN,29.0,39.0,2165.0,-95.0,22.0,29.0,-7.0,-10.0,1.2055427251732103,1.6212471131639723,6.631578947368421,9.473684210526315
b'Nicol?s Rodr?guez',Plaza Coloni,0.0,1.0,94.0,94.0,1.0,1.0,1.0,0.0,0.0,0.9574468085106383,0.9574468085106383,0.0
b'Juli?n Chicco',CABJ,1.0,4.0,283.0,2717.0,42.0,29.0,41.0,25.0,0.31802120141342755,1.2720848056537102,1.3581155686418844,0.8281192491718807
b'German Ferreyra',ARS,3.0,1.0,173.0,1616.0,23.0,19.0,20.0,18.0,1.560693641618497,0.5202312138728323,1.113861386138614,1.0024752475247525
b'Ivan Santill?n Atoche',RGO,4.0,5.0,376.0,0.0,4.0,5.0,0.0,0.0,0.9574468085106383,1.196808510638298,0.0,0.0
b'Grafite',Santa Cruz F,1.0,2.0,245.0,38.0,1.0,2.0,0.0,0.0,0.3673469387755102,0.7346938775510204,0.0,0.0
b'Jos? Madrid',LDU,2.0,3.0,171.0,392.0,6.0,12.0,4.0,9.0,1.0526315789473684,1.5789473684210527,0.9183673469387755,2.066326530612245
b'Germ?n Herrera',ROS,27.0,25.0,1556.0,1289.0,38.0,29.0,11.0,4.0,1.5616966580976863,1.4460154241645244,0.7680372381691234,0.27928626842513576
b'Luis Cardoza',CVL,0.0,1.0,95.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0
b'Alejandro M?rquez',O'Higgins,0.0,0.0,174.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'Roberto Mej?as',Trujillanos,1.0,0.0,19.0,544.0,7.0,17.0,6.0,17.0,4.7368421052631575,0.0,0.9926470588235294,2.8125
b'Ezequiel Ru?z',ARS,0.0,1.0,25.0,1764.0,23.0,19.0,23.0,18.0,0.0,3.6,1.1734693877551021,0.9183673469387755
b'Marcelo Meli',CABJ,16.0,10.0,1015.0,1985.0,42.0,29.0,26.0,19.0,1.4187192118226601,0.8866995073891626,1.1788413098236776,0.8614609571788413
b'Yago Rocha',Figueirense,3.0,2.0,48.0,153.0,5.0,5.0,2.0,3.0,5.625,3.75,1.1764705882352942,1.7647058823529411
b'Matias Mirabaje',Fénix ,1.0,2.0,191.0,1.0,1.0,2.0,0.0,0.0,0.4712041884816754,0.9424083769633508,0.0,0.0
b'Armando Alfageme',DMU,0.0,6.0,184.0,0.0,0.0,6.0,0.0,0.0,0.0,2.9347826086956523,0.0,0.0
b'Emanuel Morales',QUI,9.0,14.0,676.0,1205.0,24.0,38.0,15.0,24.0,1.198224852071006,1.863905325443787,1.120331950207469,1.7925311203319503
b'Luis Romero',LDU,4.0,9.0,329.0,234.0,6.0,12.0,2.0,3.0,1.094224924012158,2.4620060790273555,0.7692307692307693,1.1538461538461537
b'Sergio Vergara',Libertad,0.0,4.0,164.0,22.0,0.0,4.0,0.0,0.0,0.0,2.1951219512195124,0.0,0.0
b'Alejandro Bejarano',Real Potosí,4.0,9.0,362.0,10.0,4.0,9.0,0.0,0.0,0.994475138121547,2.2375690607734806,0.0,0.0
