player,team,goals_for,goals_against,minutes_played,minutes_benched,team_goals_for,team_goals_against
Rodrigo De Paul,RAC,11,13,564,942,29,26
Lucas Ceballos,GCM,27,14,1475,32,27,14
Emanuel Casado,COL,0,3,42,1461,21,31
Nicol?s S?nchez,SARM,27,18,1448,63,10,17
Domingo Blanco,IND,4,0,83,1416,22,12
Patricio Matricardi,ARGJ,0,2,360,1143,11,26
Diego Armando Montiel,RAF,5,4,274,1234,14,32
Axel Werner,RAF,10,19,817,691,14,32
Lucas Viatri,EST,16,6,805,701,25,11
Enzo Kalinski,SL,4,4,279,1229,23,16
Julio Rodriguez,USF,8,12,351,1158,24,21
Germ?n Voboril,RAC,12,11,658,848,29,26
Alejandro R?bola,TIG,0,2,94,1413,21,17
Maximiliano Calzada,DYJ,10,3,183,1339,23,16
Germ?n Gait?n,BEL,0,0,23,1485,19,23
Ignacio Boggino,TEMP,11,12,845,666,14,21
Franco Colela,BAN,9,12,711,797,15,20
Marcos Gelabert,SMSJ,17,13,1008,517,22,20
Franco Bellocq,ARS,12,8,685,819,21,14
Nahuel Yeri,BAN,1,4,238,1270,15,20
Germ?n Herrera,ROS,8,11,603,916,17,15
Leandro Martinez,SMSJ,5,7,223,1302,22,20
Emiliano Romero,RAF,3,7,320,1188,14,32
Kevin Mercado,SARM,7,7,461,1050,10,17
Joaqu?n Laso,ARGJ,6,12,908,595,11,26
Joel Sacks,RAF,0,1,20,1488,14,32
Maximiliano Caire,SARM,8,14,1037,474,10,17
Nereo Champagne,OBB,11,20,1511,0,11,20
Cristian Ledesma,ARGJ,8,21,1030,473,11,26
Leandro Contin,GLP,4,3,73,1425,18,19
Omar Pouso,GLP,1,0,21,1477,18,19
Lautaro Gianetti,VEL,16,19,1272,237,19,19
Fernando Godoy,GCM,22,14,1011,496,27,14
Emanuel M?s,SL,17,9,1131,377,23,16
Franco Soldano,USF,6,3,265,1244,24,21
Ignacio Fern?ndez,CARP,13,13,692,821,20,19
V?ctor L?pez,RAF,8,13,883,625,14,32
Leandro Grimi,RAC,17,13,845,661,29,26
Martin Rolle,USF,16,15,759,750,24,21
Sebastian Rinc?n,TIG,16,16,783,724,21,17
Fernando Zampedri,TUC,14,8,528,979,24,19
Mat?as Fant?n,USF,0,0,5,1504,24,21
El?as Borrego,OBB,0,4,107,1404,11,20
Walter Acu?a,OBB,8,13,764,747,11,20
Nicol?s Romat,TUC,23,18,1310,197,24,19
Luciano Aued,RAC,25,17,1129,377,29,26
Nacho Scocco,NOB,16,20,928,576,16,21
Jacobo Mansilla,OBB,11,15,1095,416,11,20
Iv?n Ezequiel Silva,NOB,2,3,188,1316,16,21
Mat?as Zald?var,ARS,7,5,318,1186,21,14
Daniele Franco,SMSJ,2,0,97,1428,22,20
Mauro Obolo,BEL,11,15,708,800,19,23
Mat?as P?rez Acu?a,VEL,4,2,163,1346,19,19
Santiago Stelcaldo,VEL,5,8,344,1165,19,19
Gast?n Bottino,QUI,12,15,860,644,21,31
Victor Figueroa,COL,21,26,1035,468,21,31
Jonathan Ferrari,CAP,16,19,1376,142,19,23
Horacio Orzan,TIG,0,1,15,1492,21,17
Alexis Nicol?s Castro,ALDO,12,16,565,958,19,27
Lautaro Montoya,SL,4,5,247,1261,23,16
Nicol?s Bertolo,CARP,8,4,439,1074,20,19
Federico Andrada,QUI,17,21,956,548,21,31
Daniel Imperiale,QUI,17,21,994,510,21,31
C?sar Pereyra,BEL,10,10,635,873,19,23
Claudio Ria?o,USF,20,16,1061,448,24,21
Marcos Minetti,CAP,5,6,408,1110,19,23
Rodrigo Tapia,SL,2,2,93,1415,23,16
Fabricio Angileri,GCM,3,3,185,1322,27,14
?rik Correa,TIG,2,2,224,1283,21,17
David Barbona,EST,1,1,80,1426,25,11
Gonzalo Castellani,LAN,8,4,335,1172,28,10
Jonathan Schunke,EST,25,11,1506,0,25,11
Adri?n Calello,QUI,13,27,1036,468,21,31
Manuel Guanini,GLP,3,0,93,1405,18,19
Diego Vera,IND,16,9,704,795,22,12
Marcelo Guzm?n,CAP,16,20,1034,484,19,23
Ramiro Garay,ALDO,0,1,27,1496,19,27
Gonzalo Baz?n,ARS,19,13,1044,460,21,14
Mart?n P?rez Guedes,TEMP,4,9,429,1082,14,21
Clemente Rodr?guez,COL,13,21,814,689,21,31
Dami?n Mart?nez,DYJ,21,14,1213,309,23,16
Agust?n Vuletich,ARS,3,2,95,1409,21,14
Emiliano Franco,NOB,1,0,49,1455,16,21
Jorge Ortiz,IND,14,11,955,544,22,12
Emanuel Insua,NOB,15,20,1388,116,16,21
Guillermo Fern?ndez,GCM,25,14,1307,200,27,14
Lautaro Rinaldi,ARGJ,4,14,570,933,11,26
Frank Fabra,CABJ,0,1,98,1403,14,13
Paulo D?az,SL,6,5,423,1085,23,16
Emiliano Rigoni,IND,21,11,1209,290,22,12
Alexis Rolin,CABJ,1,4,283,1218,14,13
Luis Unsain,NOB,7,8,375,1129,16,21
Rom?n,LAN,25,7,1118,389,28,10
Sebasti?n Balmaceda,TIG,1,4,214,1293,21,17
Dami?n Malrechauffe,QUI,13,20,1007,497,21,31
Orlando Gaona Lugo,OBB,10,14,791,720,11,20
Leandro Gonz?lez Pirez,EST,15,8,694,812,25,11
Fernando Pellegrino,ARS,21,14,1504,0,21,14
Jorge Emanuel Molina,TUC,2,1,66,1441,24,19
Walter Erviti,BAN,15,20,1314,194,15,20
Marcelo Herrera,LAN,6,4,380,1127,28,10
Claudio Villagra,BAN,9,11,397,1111,15,20
Nicol?s Mazzola,GLP,0,2,34,1464,18,19
Jaime Ayov?,GCM,27,14,1366,141,27,14
Sebastian Driussi,CARP,7,6,421,1092,20,19
Ezequiel Videla,RAC,3,2,246,1260,29,26
Giovani Lo Celso,ROS,13,12,1055,464,17,15
?ngel Garr?,CAP,16,21,1238,280,19,23
Joaqu?n Pereyra,ROS,2,1,83,1436,17,15
Santiago Villarreal,TIG,1,0,15,1492,21,17
Gonz?lo R?os,TEMP,7,9,555,956,14,21
Leonardo Pisculichi,CARP,5,7,352,1161,20,19
Enrique Meza,TUC,8,8,636,871,24,19
Ismael Benegas,COL,18,24,1093,410,21,31
Facundo Quintana,EST,7,4,222,1284,25,11
Luis Ardente,SMSJ,22,20,1525,0,22,20
Nicol?s Delgadillo,VEL,5,5,134,1375,19,19
Lucas Janson,TIG,20,14,1164,343,21,17
Mariano Uglessich,QUI,6,11,502,1002,21,31
Javier Capelli,SMSJ,12,13,834,691,22,20
Gonzalo Gim?nez,ARS,1,2,45,1459,21,14
Alejandro Romero Gamarra,HUR,14,13,1056,461,21,15
Adri?n Argach?,BEL,4,5,340,1168,19,23
Nelson Ben?tez,RAF,13,30,1365,143,14,32
Ezequiel Rodr?guez,ROS,1,0,41,1478,17,15
Leandro Des?bato,EST,25,19,1792,-286,25,11
Jos? M?ndez,TUC,9,8,321,1186,24,19
Cristian Espinoza,HUR,17,10,1080,437,21,15
Lautaro Mart?nez,RAC,2,4,98,1408,29,26
Lucas Licht,GLP,17,16,1256,242,18,19
Guillermo Benitez,ARGJ,5,13,340,1163,11,26
Germ?n Conti,COL,21,31,1503,0,21,31
Leandro Lacunza,OBB,1,2,174,1337,11,20
Dami?n Schmidt,RAC,0,5,91,1415,29,26
Augusto Batalla,CARP,2,4,289,1224,20,19
Sebasti?n Riquelme,ARGJ,0,2,11,1492,11,26
Leandro Romagnoli,SL,7,8,361,1147,23,16
Jorge Rodr?guez,BAN,6,8,724,784,15,20
Cristian Rodr?guez,IND,12,4,513,986,22,12
Alexis Messidoro,CABJ,4,5,375,1126,14,13
?ngelo Gonz?lez,GCM,8,5,349,1158,27,14
Gonzalo Bueno,EST,5,2,166,1340,25,11
Federico Milo,ARS,1,0,30,1474,21,14
Rodrigo Aliendro,TUC,12,10,448,1059,24,19
Ignacio Colombini,QUI,5,8,225,1279,21,31
Mat?as Garrido,CAP,17,20,1287,231,19,23
Leonardo Di Lorenzo,TEMP,13,15,1000,511,14,21
Fabi?n Henr?quez,GCM,3,0,123,1384,27,14
Brian Sarmiento,BAN,9,12,617,891,15,20
Juan Insaurralde,CABJ,13,9,1124,377,14,13
Fernando Gago,CABJ,10,8,851,650,14,13
Jorge Vel?zquez,BEL,18,20,1291,217,19,23
Alexis Soto,BAN,13,20,1400,108,15,20
Lautaro Comas,CAP,9,9,525,993,19,23
Jorge Luna,SMSJ,5,6,266,1259,22,20
Luciano Pocrnjic,NOB,7,8,847,657,16,21
Camilo Mayada,CARP,12,10,677,836,20,19
Enrique Alberto Bologna,GLP,15,19,1405,93,18,19
Tom?s Andrade,CARP,2,0,111,1402,20,19
Emilio Hern?ndez,SMSJ,2,1,103,1422,22,20
Lucas Cano,ARGJ,1,2,137,1366,11,26
Fabio ?lvarez,SARM,6,10,641,870,10,17
Leandro Sapetti,TEMP,8,9,635,876,14,21
Mauricio T?vez,NOB,3,6,270,1234,16,21
Jonathan Galv?n,ALDO,16,24,1317,206,19,27
Maxi Rodr?guez,NOB,16,21,1464,40,16,21
Lucas Villalba,TUC,13,6,689,818,24,19
Walter Busse,SARM,10,17,1401,110,10,17
Kevin Ceceri,GLP,3,4,323,1175,18,19
Mauro Matos,SL,7,7,422,1086,23,16
Jonathan Bottinelli,ARS,21,14,1504,0,21,14
Dami?n P?rez,VEL,19,17,1285,224,19,19
Fernando Gonz?lez,OBB,1,7,315,1196,11,20
Milton Casco,CARP,11,13,785,728,20,19
Mariano Nicolas Gonzalez,HUR,18,12,844,673,21,15
Gast?n ?lvarez Suarez,BEL,8,7,275,1233,19,23
Guillermo Acosta,TUC,20,15,941,566,24,19
Gustavo Villarruel,SMSJ,8,5,241,1284,22,20
Pablo Becker,ROS,1,2,157,1362,17,15
Rodrigo Battaglia,ROS,0,3,135,1384,17,15
Matias Donoso,CAP,6,5,332,1186,19,23
Camilo Vargas,ARGJ,6,15,566,937,11,26
Marco Rub?n,ROS,12,9,944,575,17,15
Pablo Santillo,DYJ,8,7,426,1096,23,16
Federico L?rtora,ARS,20,14,1346,158,21,14
Nicol?s Talpone,EST,1,2,12,1494,25,11
Jos? Sand,LAN,28,10,1449,58,28,10
Guillermo Ferracuti,SARM,1,8,438,1073,10,17
Claudio Corval?n,ARS,21,14,1476,28,21,14
Gabriel Graciani,RAF,10,16,792,716,14,32
Santiago Villafa?e,COL,11,12,442,1061,21,31
Gast?n Fern?ndez,EST,22,10,1207,299,25,11
Hamilton Pereira,SARM,10,14,1224,287,10,17
Fabi?n Rinaudo,GLP,9,14,1029,469,18,19
Mauro Bogado,HUR,19,14,1325,192,21,15
Guillermo Sara,CABJ,1,5,402,1099,14,13
Juan Ignacio Cavallaro,EST,21,9,833,673,25,11
Carlos Auzqui,EST,13,7,790,716,25,11
Brian Andrada,GLP,0,0,8,1490,18,19
Sergio Vittor,RAC,21,21,793,713,29,26
Gabriel B?ez Renter?a,NOB,1,1,95,1409,16,21
Lucas Mugni,NOB,3,5,249,1255,16,21
Gonzalo Montiel,CARP,0,0,49,1464,20,19
Mathias Abero,RAF,8,24,763,745,14,32
Kevin Mac Allister,ARGJ,2,10,372,1131,11,26
Ramiro Carrera,ARS,12,9,593,911,21,14
Emanuel Tripodi,SARM,10,17,1511,0,10,17
Fabi?n Assmann,VEL,0,2,107,1402,19,19
Roberto Brum,GLP,7,9,774,724,18,19
Pablo Alvarez,ROS,13,9,957,562,17,15
Elias Gomez,DYJ,0,0,17,1505,23,16
Ezequiel Parnisari,OBB,10,18,1244,267,11,20
Facundo Parra,RAF,6,16,458,1050,14,32
Mat?as Giordano,HUR,0,1,118,1399,21,15
Erik Godoy,TIG,21,13,1258,249,21,17
Gabriel Alan?s,BEL,3,4,108,1400,19,23
Martin Benitez,IND,18,11,798,701,22,12
Pablo Caceres,TUC,16,11,828,679,24,19
Tom?s Pochettino,DYJ,7,7,466,1056,23,16
Miguel Escobar,BAN,3,4,88,1420,15,20
Bruno Bianchi,TUC,24,19,1507,0,24,19
Cristian Canuh?,TEMP,8,9,646,865,14,21
Victor Malcorra,USF,24,21,1509,0,24,21
Norberto Paparatto,RAF,3,10,469,1039,14,32
Pablo Rosales,EST,4,1,48,1458,25,11
Juan Sanchez Sotelo,ARS,14,9,764,740,21,14
Gonzalo Yordan,VEL,0,0,28,1481,19,19
Luis Rodr?guez,TUC,20,19,1270,237,24,19
Tom?s Bolzicco,USF,3,2,146,1363,24,21
Fabricio Formiliano,NOB,7,11,474,1030,16,21
Dami?n Ledesma,ALDO,8,11,579,944,19,27
Santiago Biglieri,COL,0,0,11,1492,21,31
