home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_yellow,away_yellow,home_red,away_red
TIG,RAC,4,0,0,0,6,7,5,3,37,63,3,4,0,0
GLP,ROS,1,2,0,1,20,11,3,6,54,46,2,2,0,0
NOB,BEL,3,3,2,0,12,13,9,5,65,35,3,2,0,0
IND,VEL,0,4,0,0,10,15,3,8,56,44,0,1,0,0
SL,BAN,0,2,0,0,11,21,3,9,52,48,3,2,1,0
LAN,EST,2,1,0,0,14,13,4,5,49,51,3,5,0,0
DYJ,QUI,1,1,0,0,12,9,3,4,65,35,1,2,1,1
CABJ,RAF,0,3,0,0,17,6,8,3,63,37,2,3,0,0
GCM,CARP,0,4,0,0,15,17,3,9,45,55,3,3,1,0
BEL,GLP,0,0,0,0,12,8,3,2,51,49,3,3,0,0
OBB,IND,1,2,1,0,7,13,5,7,36,64,1,3,1,0
RAC,ARS,1,0,1,0,19,10,3,3,62,38,2,1,0,0
RAF,NOB,2,3,0,0,21,14,7,7,51,49,3,2,0,0
ROS,GCM,0,1,0,0,15,7,3,2,55,45,2,3,1,1
CARP,DYJ,3,0,0,0,25,11,11,3,59,41,1,2,0,0
EST,CABJ,3,1,0,0,14,8,3,3,44,56,1,2,0,0
BAN,TIG,1,0,0,0,19,11,6,0,49,51,3,3,0,1
VEL,LAN,1,0,0,0,11,11,4,4,53,47,1,2,0,0
QUI,SL,0,3,0,1,13,12,6,4,52,48,5,1,0,0
GLP,GCM,2,0,0,0,11,9,4,6,47,53,3,2,0,0
DYJ,ROS,1,3,0,0,18,13,7,5,57,43,1,5,0,0
NOB,EST,1,0,0,0,12,7,4,2,61,39,4,2,0,0
BEL,RAF,3,0,0,0,28,8,12,0,47,53,1,2,0,0
IND,RAC,2,1,0,0,10,11,5,2,49,51,4,2,0,0
CABJ,VEL,3,1,0,0,20,6,7,4,53,47,2,2,1,0
SL,CARP,1,3,0,0,8,10,1,3,39,61,2,3,2,0
LAN,OBB,1,1,0,0,7,9,0,4,64,36,3,2,0,0
ARS,BAN,1,0,0,0,8,10,3,0,39,61,1,0,0,1
TIG,QUI,0,0,0,0,9,12,2,0,52,48,5,3,0,0
RAF,GLP,2,0,1,0,17,13,7,4,49,51,1,3,0,1
VEL,NOB,0,0,0,0,22,4,7,0,57,43,0,2,0,0
EST,BEL,3,1,0,0,12,11,3,1,56,44,1,2,1,0
BAN,IND,0,1,0,0,10,15,2,4,46,54,1,4,1,0
ROS,SL,1,1,0,0,19,7,8,4,62,38,1,3,0,0
GCM,DYJ,1,1,0,0,16,11,3,3,53,47,2,1,0,0
RAC,LAN,1,3,0,1,21,9,6,5,54,46,4,3,1,0
CARP,TIG,2,0,0,0,22,2,11,0,62,38,1,2,0,1
QUI,ARS,4,0,0,0,13,16,8,3,46,54,5,4,0,0
