home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_fouls,away_foulshome_yellow,away_yellow,home_red,away_red
VEL,BAN,1,0,0,0,13,10,4,2,43,57,14,9,1,3,0,0
NOB,GCM,2,2,0,0,19,9,8,4,49,51,8,15,0,1,0,0
OBB,RAC,1,1,0,0,25,13,6,3,49,51,16,11,5,2,0,1
EST,QUI,1,0,0,0,11,13,4,4,65,35,16,13,3,4,0,1
LAN,SL,1,0,0,0,12,9,2,1,42,58,10,16,5,1,0,0
CABJ,DYJ,2,0,0,0,17,11,3,2,48,52,8,11,2,4,0,0
RAF,CARP,1,2,0,0,14,23,4,5,38,62,13,15,4,3,0,0
ARS,GLP,1,0,0,0,15,9,6,1,42,58,11,20,0,0,0,0
BAN,OBB,3,0,0,0,12,10,4,2,59,41,5,9,0,2,0,0
GCM,BEL,1,3,0,0,11,19,3,9,64,36,14,3,4,2,0,0
GLP,RAC,0,1,0,0,13,11,3,3,55,45,12,13,2,4,0,0
QUI,VEL,2,1,0,0,10,8,7,1,28,72,10,21,3,3,0,0
ROS,RAF,0,2,0,0,6,13,2,8,53,47,16,18,0,2,0,0
SL,CABJ,2,0,0,0,9,7,3,0,41,59,15,12,1,3,0,0
LAN,ARS,3,2,0,0,15,9,7,4,60,40,9,9,3,3,0,0
RAF,GCM,3,4,0,0,24,17,10,5,52,48,13,13,2,3,0,0
OBB,QUI,2,1,0,0,9,10,7,2,46,54,15,17,2,3,0,0
BEL,DYJ,3,0,0,0,16,11,7,1,34,66,16,6,2,1,0,0
IND,GLP,0,1,0,0,16,14,5,6,59,41,16,15,1,0,0,0
EST,ROS,1,0,0,0,10,9,3,2,47,53,12,8,3,4,0,0
RAC,BAN,1,0,0,0,6,17,4,8,36,64,19,10,2,2,0,0
CABJ,TIG,2,0,1,0,14,6,8,0,65,35,7,13,4,4,0,0
VEL,CARP,1,1,0,0,9,13,3,6,49,51,12,21,5,5,0,0
NOB,SL,3,1,0,0,11,12,4,4,49,51,9,12,0,0,0,0
TIG,LAN,3,0,0,0,16,6,7,2,53,47,15,13,3,2,0,1
CARP,EST,0,1,0,0,13,10,2,5,68,32,12,11,3,1,0,1
ARS,IND,1,1,0,0,7,8,5,1,39,61,14,22,1,3,0,0
DYJ,RAF,2,1,0,1,12,17,5,5,53,47,9,12,2,2,0,0
ROS,VEL,0,0,0,0,14,8,5,4,51,49,19,17,3,3,0,0
GLP,BAN,1,1,0,0,16,13,8,6,44,56,14,15,2,2,0,0
SL,BEL,4,0,1,0,9,4,5,3,77,23,10,11,1,1,0,1
QUI,RAC,0,1,1,0,16,17,4,8,50,50,11,19,0,2,1,1
GCM,EST,1,1,0,0,13,10,7,2,44,56,17,9,2,3,0,0
TIG,NOB,1,2,0,0,16,11,8,6,56,44,5,13,1,2,0,1
CARP,OBB,1,1,0,0,14,10,7,4,68,32,16,9,3,1,0,1
ARS,CABJ,1,1,0,0,14,21,5,8,40,60,10,14,1,3,0,0
IND,LAN,4,1,0,0,14,9,9,3,51,49,11,13,2,2,0,2
BAN,QUI,3,1,1,0,17,10,5,4,66,34,17,14,2,2,0,0
RAF,SL,2,0,0,0,22,4,4,1,50,50,10,13,0,1,0,0
OBB,ROS,1,1,0,0,11,13,5,5,46,54,12,21,1,3,0,0
VEL,GCM,1,4,0,1,15,14,4,9,55,45,11,15,5,2,0,0
LAN,GLP,2,0,0,0,17,10,7,4,45,55,17,12,1,0,0,0
BEL,TIG,1,2,0,0,10,15,1,7,48,52,20,15,4,5,0,0
EST,DYJ,0,0,0,0,16,12,2,6,57,43,12,13,1,3,0,0
CABJ,IND,3,1,0,0,14,8,3,1,50,50,21,9,3,1,0,1
RAC,CARP,1,0,0,0,9,7,1,3,43,57,16,16,3,4,0,0
NOB,ARS,2,4,0,0,12,13,7,6,66,34,12,12,2,3,1,0
